,1a,1b,1c,1d,1e,1f,1g,1h,2a,2b,2c,2d,2e,2f,2g,2h,3a,3b,3c,3d,3e,3f,3g,3h,4a,4b,4c,4d,4e,4f,4g,4h,5a,5b,5c,5d,5e,5f,5g,5h,6a,6b,6c,6d,6e,6f,6g,6h,7a,7b,7c,7d,7e,7f,7g,7h,8a,8b,8c,8d,8e,8f,8g,8h,val
2447,r,0,b,0,0,b,0,N,0,0,0,N,0,0,k,0,0,0,0,0,0,0,0,0,p,0,0,0,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,0,P,K,0,P,P,n,0,B,0,0,B,0,R,1908.5
2448,r,0,b,0,0,N,0,N,0,0,0,0,0,0,0,k,0,0,0,0,0,0,0,0,p,0,0,0,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,0,P,K,0,P,P,n,0,B,0,0,B,0,R,2009.5
2449,r,0,b,0,0,N,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,k,p,0,0,0,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,0,P,K,0,P,P,n,0,B,0,0,B,0,R,12002.5
2450,r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,P,P,P,P,R,0,B,Q,K,B,N,R,27.0
2451,r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,P,P,P,P,R,0,B,Q,K,B,N,R,128.5
2452,r,n,b,q,k,b,n,r,p,p,p,p,p,p,0,0,0,0,0,0,0,0,p,0,0,0,0,N,0,0,0,p,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,Q,K,B,N,R,137.0
2453,r,n,b,q,k,0,n,r,p,p,p,p,p,p,b,0,0,0,0,0,0,0,p,0,0,0,0,N,0,0,0,p,0,0,0,0,P,0,0,0,0,0,0,0,0,Q,0,0,P,P,P,P,0,P,P,P,R,0,B,0,K,B,N,R,208.0
2454,r,n,b,q,k,0,n,r,p,p,p,p,p,p,0,0,0,0,0,0,0,0,p,0,0,0,0,N,0,0,0,p,0,0,0,0,P,0,0,0,0,0,0,0,0,Q,0,0,P,B,P,P,0,P,P,P,R,0,0,0,K,B,N,R,410.5
2455,r,n,b,q,k,0,n,B,p,p,p,p,0,p,0,0,0,0,0,0,p,0,p,0,0,0,0,N,0,0,0,p,0,0,0,0,P,0,0,0,0,0,0,0,0,Q,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,N,R,605.5
2456,r,n,b,q,k,0,n,B,p,p,p,p,0,p,0,0,0,0,0,0,p,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,p,0,0,0,0,N,Q,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,N,R,830.5
2457,r,n,b,q,k,0,n,B,p,p,p,p,0,0,0,0,0,0,0,0,p,0,p,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,p,0,0,0,0,N,Q,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,N,R,827.0
2458,r,n,b,q,k,0,n,B,p,p,p,p,0,0,0,0,0,0,0,0,p,0,0,0,0,0,0,0,0,p,0,Q,0,0,0,0,0,0,0,p,0,0,0,0,N,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,N,R,909.5
2459,r,n,b,q,0,k,n,B,p,p,p,p,0,0,0,Q,0,0,0,0,p,0,0,0,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,p,0,0,0,0,N,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,N,R,1018.5
2460,r,n,b,q,0,k,n,B,0,p,p,p,0,0,Q,0,0,0,0,0,p,0,0,0,p,0,0,0,0,p,0,0,0,0,0,0,0,0,0,p,0,0,0,0,N,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,N,R,1101.5
2461,r,n,b,q,k,0,Q,B,0,p,p,p,0,0,0,0,0,0,0,0,p,0,0,0,p,0,0,0,0,p,0,0,0,0,0,0,0,0,0,p,0,0,0,0,N,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,N,R,2003.5
2462,r,n,b,q,0,0,0,B,0,p,p,p,k,0,0,0,0,0,0,0,p,0,0,0,p,0,0,0,0,p,Q,0,0,0,0,0,0,0,0,p,0,0,0,0,N,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,N,R,1915.5
2463,r,n,b,Q,0,0,0,B,0,p,p,p,0,0,0,0,0,0,0,k,p,0,0,0,p,0,0,0,0,p,0,0,0,0,0,0,0,0,0,p,0,0,0,0,N,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,N,R,2214.0
2464,r,n,Q,0,0,0,0,B,0,p,p,p,0,0,0,0,0,0,0,k,0,0,0,0,p,0,0,0,p,p,0,0,0,0,0,0,0,0,0,p,0,0,0,0,N,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,N,R,2506.5
2465,r,n,0,0,0,0,0,B,0,Q,p,p,0,0,0,0,0,0,0,k,0,0,0,0,p,0,0,0,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,p,P,0,P,P,0,P,P,P,R,0,0,0,K,B,N,R,2711.5
2466,r,n,0,0,0,0,0,B,0,Q,p,p,0,0,0,0,0,0,0,k,0,0,0,0,p,0,0,0,p,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,P,P,0,P,p,P,R,0,0,0,K,B,N,R,2811.5
2467,r,n,0,0,0,0,0,B,0,Q,p,p,0,0,0,0,0,0,0,0,0,0,0,0,p,0,k,0,p,N,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,P,0,P,0,0,P,p,P,R,0,0,0,K,B,N,R,12402.5
2468,r,n,0,0,0,0,0,0,0,Q,p,p,0,0,0,0,0,0,0,0,0,0,0,0,p,0,k,0,0,N,0,0,0,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,P,0,P,0,0,P,p,P,R,0,0,0,K,B,N,R,12402.5
2469,r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,0,R,27.0
2470,r,n,b,q,k,b,0,r,p,p,p,p,p,p,p,p,0,0,0,0,0,n,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,0,R,122.0
2471,r,n,b,q,k,b,0,r,p,p,p,p,p,p,0,p,0,0,0,0,0,n,p,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,P,P,P,P,R,0,B,Q,K,B,0,R,129.5
2472,r,n,b,q,k,b,0,r,p,p,p,p,0,p,0,p,0,0,0,0,p,n,p,0,0,0,0,0,N,0,0,0,0,0,0,0,P,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,Q,K,B,0,R,135.0
2473,r,n,b,q,k,b,0,r,p,p,p,p,0,p,0,p,0,0,0,0,p,0,p,0,0,0,0,0,N,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,Q,K,B,0,R,334.0
